date,MDW,ORD
09/21/2014,709.0,2610.0
09/22/2014,797.0,2780.0
09/23/2014,821.0,2707.0
09/24/2014,820.0,2712.0
09/25/2014,773.0,2729.0
09/26/2014,255.0,1135.0
09/27/2014,477.0,1328.0
09/28/2014,671.0,1818.0
09/29/2014,710.0,2316.0
09/30/2014,717.0,2472.0
10/01/2014,742.0,2539.0
10/02/2014,392.0,2131.0
10/03/2014,754.0,2550.0
10/04/2014,542.0,1981.0
10/05/2014,708.0,2542.0
10/06/2014,739.0,2656.0
10/07/2014,801.0,2651.0
10/08/2014,777.0,2698.0
10/09/2014,786.0,2724.0
10/10/2014,797.0,2665.0
10/11/2014,552.0,2064.0
10/12/2014,670.0,2564.0
10/13/2014,721.0,2660.0
10/14/2014,763.0,2706.0
10/15/2014,792.0,2780.0
10/16/2014,799.0,2806.0
10/17/2014,792.0,2779.0
10/18/2014,581.0,2061.0
10/19/2014,730.0,2625.0
10/20/2014,664.0,2805.0
10/21/2014,796.0,2715.0
10/22/2014,758.0,2723.0
10/23/2014,821.0,2787.0
10/24/2014,778.0,2767.0
10/25/2014,569.0,2036.0
10/26/2014,698.0,2466.0
10/27/2014,772.0,2651.0
10/28/2014,819.0,2599.0
10/29/2014,811.0,2604.0
10/30/2014,822.0,2638.0
10/31/2014,630.0,1521.0
11/01/2014,590.0,1944.0
11/02/2014,660.0,2435.0
11/03/2014,748.0,2657.0
11/04/2014,743.0,2584.0
11/05/2014,783.0,2606.0
11/06/2014,766.0,2574.0
11/07/2014,730.0,2665.0
11/08/2014,528.0,1952.0
11/09/2014,686.0,2443.0
11/10/2014,745.0,2591.0
11/11/2014,741.0,2577.0
11/12/2014,752.0,2587.0
11/13/2014,778.0,2670.0
11/14/2014,716.0,2641.0
11/15/2014,523.0,1958.0
11/16/2014,669.0,2363.0
11/17/2014,681.0,2484.0
11/18/2014,752.0,2564.0
11/19/2014,769.0,2559.0
11/20/2014,798.0,2643.0
11/21/2014,717.0,2655.0
11/22/2014,521.0,1969.0
11/23/2014,575.0,2341.0
11/24/2014,611.0,1982.0
11/25/2014,727.0,2465.0
11/26/2014,719.0,2563.0
11/27/2014,397.0,1559.0
11/28/2014,491.0,1898.0
11/29/2014,614.0,2326.0
11/30/2014,763.0,2660.0
12/01/2014,784.0,2745.0
12/02/2014,750.0,2513.0
12/03/2014,778.0,2483.0
12/04/2014,797.0,2543.0
12/05/2014,725.0,2486.0
12/06/2014,523.0,1817.0
12/07/2014,667.0,2287.0
12/08/2014,687.0,2480.0
12/09/2014,705.0,2436.0
12/10/2014,760.0,2430.0
12/11/2014,782.0,2515.0
12/12/2014,686.0,2533.0
12/13/2014,505.0,1824.0
12/14/2014,605.0,2225.0
12/15/2014,707.0,2523.0
12/16/2014,700.0,2451.0
12/17/2014,752.0,2500.0
12/18/2014,736.0,2482.0
12/19/2014,720.0,2518.0
12/20/2014,604.0,2255.0
12/21/2014,605.0,2324.0
12/22/2014,612.0,2381.0
12/23/2014,607.0,2352.0
12/24/2014,471.0,1844.0
12/25/2014,459.0,1767.0
12/26/2014,633.0,2229.0
12/27/2014,569.0,2167.0
12/28/2014,608.0,2294.0
12/29/2014,588.0,2358.0
12/30/2014,580.0,2337.0
12/31/2014,460.0,2024.0
