recv_zip,60290,60601,60602,60603,60604,60605,60606,60607,60608,60609,60610,60611,60612,60613,60614,60615,60616,60617,60618,60619,60620,60621,60622,60623,60624,60625,60626,60628,60629,60630,60631,60632,60633,60634,60636,60637,60638,60639,60640,60641,60642,60643,60644,60645,60646,60647,60649,60651,60652,60653,60654,60655,60656,60657,60659,60660,60661,60664,60666,60668,60669,60670,60673,60674,60675,60677,60678,60680,60681,60682,60684,60685,60686,60687,60688,60689,60690,60691,60693,60694,60695,60696,60697,60699,60701
60612,1.74,3.34,0.98,0.58,0.87,2.31,1.31,1.94,2.3,0.72,3.46,2.65,1.31,4.86,5.81,2.13,1.85,0.5,3.76,0.62,0.62,0.35,5.02,0.67,0.29,3.08,2.67,0.43,0.85,1.01,0.61,0.74,0.09,1.03,0.29,1.04,0.7,0.88,4.45,1.71,1.55,0.49,0.39,0.76,0.39,7.54,0.5,0.68,0.41,0.47,1.39,0.36,0.55,7.39,0.74,2.78,0.93,0.27,0.2,0.06,0.05,0.3,0.32,0.06,0.03,0.1,0.08,0.38,0.02,0.18,0.23,0.06,0.13,0.06,0.01,0.11,0.1,0.01,0.01,0.12,0.11,0.01,0.01,0.02,0.05
60613,1.76,3.15,0.89,0.53,0.83,2.11,1.36,1.89,1.99,0.63,3.76,2.7,1.17,6.06,6.98,1.68,1.56,0.28,4.07,0.25,0.23,0.15,5.23,0.47,0.16,3.2,2.69,0.17,0.55,0.92,0.54,0.58,0.05,0.81,0.14,0.8,0.53,0.61,5.24,1.46,1.77,0.22,0.22,0.74,0.35,7.84,0.21,0.43,0.24,0.24,1.49,0.28,0.44,9.38,0.61,3.23,1.02,0.24,0.2,0.07,0.05,0.35,0.39,0.07,0.03,0.1,0.1,0.34,0.01,0.15,0.17,0.06,0.12,0.07,0,0.1,0.13,0.01,0.02,0.12,0.12,0.01,0.03,0.02,0.05
60614,2.25,3.57,0.99,0.59,0.91,2.42,1.51,2.11,1.89,0.6,4.27,3.06,1.13,5.33,7.83,1.72,1.59,0.31,3.81,0.25,0.26,0.16,5.21,0.45,0.16,2.95,2.24,0.18,0.57,0.93,0.6,0.56,0.05,0.88,0.14,0.87,0.57,0.62,4.41,1.43,1.87,0.21,0.22,0.64,0.37,7.24,0.22,0.41,0.25,0.21,1.74,0.25,0.44,8.77,0.62,2.76,1.08,0.28,0.2,0.07,0.06,0.36,0.41,0.06,0.04,0.1,0.11,0.37,0.02,0.14,0.19,0.09,0.11,0.06,0.01,0.13,0.11,0.01,0.02,0.15,0.12,0.01,0.03,0.02,0.06
60615,1.58,3.15,0.86,0.56,0.91,2.56,1.26,2.21,2.45,0.84,3.26,2.54,1.25,4.56,5.66,3.54,2.25,0.61,3.5,0.79,0.8,0.4,4.61,0.54,0.29,2.9,2.7,0.49,0.79,0.82,0.53,0.7,0.08,0.8,0.36,1.73,0.55,0.74,4.64,1.48,1.44,0.54,0.36,0.79,0.33,7.03,0.69,0.68,0.44,0.69,1.23,0.37,0.42,7.05,0.64,2.86,0.93,0.27,0.21,0.06,0.05,0.31,0.32,0.07,0.03,0.07,0.09,0.38,0.01,0.17,0.19,0.08,0.13,0.06,0.01,0.12,0.12,0.01,0.03,0.11,0.15,0.01,0.04,0.02,0.06
60616,2.13,3.7,1.12,0.67,1.08,2.63,1.41,2.26,2.45,0.84,3.6,2.87,1.18,4.6,6.09,2.19,2.17,0.56,3.55,0.45,0.44,0.26,4.62,0.66,0.2,2.89,2.25,0.32,0.94,1.06,0.65,0.92,0.08,0.99,0.23,1.15,0.71,0.84,4.17,1.65,1.53,0.35,0.27,0.74,0.38,6.67,0.35,0.54,0.43,0.39,1.51,0.39,0.51,7.15,0.75,2.65,1.05,0.33,0.19,0.07,0.05,0.38,0.38,0.07,0.04,0.12,0.09,0.48,0.01,0.25,0.23,0.11,0.14,0.05,0.01,0.13,0.15,0.01,0.02,0.14,0.17,0.01,0.05,0.02,0.06
60617,1.3,3.11,0.91,0.6,0.9,2.25,1.23,1.87,2.5,1.05,3.11,2.34,1.39,3.46,4.29,2.75,2.27,1.48,3.14,1.77,1.6,0.77,3.75,0.94,0.47,2.74,2.37,1.4,1.53,0.97,0.58,1.2,0.25,1.06,0.7,1.69,0.86,1.27,3.6,1.77,1.25,1.07,0.68,0.84,0.4,5.5,1.45,0.98,0.78,1.08,1.14,0.56,0.58,5.09,0.72,2.38,0.91,0.24,0.19,0.04,0.04,0.32,0.29,0.06,0.05,0.11,0.09,0.45,0.01,0.27,0.26,0.06,0.2,0.04,0.02,0.12,0.11,0.02,0.01,0.09,0.17,0.02,0.02,0.01,0.04
60618,1.81,3.12,0.87,0.52,0.84,2.23,1.33,1.93,2.26,0.69,3.51,2.5,1.23,4.98,6.07,1.65,1.61,0.36,4.67,0.3,0.29,0.16,5.37,0.58,0.17,3.46,2.59,0.2,0.8,1.12,0.63,0.79,0.07,1.02,0.16,0.81,0.63,0.92,4.84,1.89,1.74,0.26,0.25,0.75,0.39,8.59,0.27,0.58,0.32,0.26,1.43,0.29,0.55,7.59,0.75,2.93,0.94,0.23,0.21,0.06,0.06,0.33,0.35,0.05,0.04,0.07,0.1,0.36,0.01,0.2,0.18,0.07,0.13,0.05,0.01,0.09,0.12,0.01,0.02,0.11,0.12,0.02,0.03,0.02,0.07
60619,1.23,3.01,0.89,0.6,0.95,2.36,1.16,1.65,2.38,1.26,2.48,2,1.43,2.71,3.56,4.05,2.52,1.64,2.57,2.86,2.79,1.17,2.91,1.15,0.75,2.37,2.6,2.05,1.52,0.85,0.39,0.99,0.24,0.99,1.05,2.24,0.71,1.36,3.07,1.52,0.87,1.57,1.01,0.8,0.27,4.66,2.13,1.19,0.9,1.63,0.97,0.55,0.44,3.82,0.73,2.06,0.72,0.29,0.16,0.05,0.07,0.3,0.29,0.07,0.01,0.11,0.08,0.56,0.01,0.3,0.24,0.07,0.21,0.05,0.01,0.15,0.12,0.02,0.02,0.12,0.19,0.02,0.03,0.03,0.05
60620,1.49,3.23,1.04,0.68,0.98,2.34,1.18,1.84,2.3,1.16,2.45,1.92,1.45,2.97,3.58,3.57,2.49,1.4,2.63,2.58,2.53,1.1,2.84,1.09,0.69,2.36,2.38,1.96,1.75,0.92,0.49,1.22,0.25,1.06,1.08,2.23,0.87,1.41,3.15,1.68,0.94,1.51,1.04,0.84,0.31,4.59,1.7,1.1,1.21,1.48,0.83,0.59,0.5,3.93,0.71,2.17,0.69,0.29,0.23,0.04,0.05,0.29,0.29,0.06,0.03,0.09,0.09,0.5,0.02,0.28,0.23,0.08,0.24,0.04,0.01,0.08,0.17,0.01,0.03,0.09,0.17,0.01,0.03,0.02,0.05
60621,1.19,2.88,0.89,0.62,0.95,2.32,1.17,1.9,2.14,1.33,2.45,2,1.46,2.77,3.44,3.71,2.51,1.35,2.44,2.83,2.83,1.48,2.84,1.25,0.75,2.23,2.46,1.93,1.46,0.82,0.52,1.04,0.3,1.05,1.41,2.55,0.81,1.48,2.98,1.43,0.97,1.77,1.24,0.89,0.29,4.46,1.99,1.32,1.04,1.72,0.89,0.57,0.49,3.47,0.71,2.12,0.74,0.33,0.2,0.04,0.08,0.32,0.26,0.06,0.01,0.12,0.07,0.47,0,0.3,0.23,0.08,0.2,0.03,0.03,0.09,0.09,0.02,0.02,0.07,0.18,0,0.01,0.01,0.02
